epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3311,1.67953,6.04802,2.18478,0.28278,0.29163,0.1561,0.12305,1.60468,5.95186,2.20273,0.000199455,0.000199455,0.080254
2,94.1698,1.50246,3.64089,1.98697,0.44737,0.41431,0.36007,0.28424,1.50823,3.64144,2.08533,0.000399431,0.000399431,0.0604539
3,138.101,1.38767,2.99533,1.87747,0.67498,0.45217,0.49822,0.41389,1.39017,2.82535,1.95668,0.000599309,0.000599309,0.0406538
4,181.617,1.327,2.64384,1.79621,0.75786,0.52011,0.59241,0.49051,1.33958,2.38261,1.88359,0.000799016,0.000799016,0.0208535
5,225.117,1.30025,2.40978,1.74031,0.79084,0.53216,0.61036,0.50997,1.33572,2.14099,1.8671,0.000998479,0.000998479,0.00105297
6,268.527,1.30541,2.27983,1.72452,0.82292,0.54261,0.64123,0.54705,1.25095,1.92349,1.80131,0.000998474,0.000998474,0.000998474
7,311.587,1.28083,2.12419,1.69744,0.84788,0.54181,0.65123,0.54404,1.33509,1.88386,1.81049,0.000997803,0.000997803,0.000997803
8,354.979,1.24628,2.03257,1.6625,0.87847,0.54598,0.66946,0.55782,1.31636,1.82065,1.8143,0.000997011,0.000997011,0.000997011
9,398.573,1.26029,2.00059,1.6619,0.83311,0.56431,0.67487,0.55925,1.31616,1.71711,1.79357,0.000996097,0.000996097,0.000996097
10,442.099,1.24621,1.92415,1.65273,0.82686,0.58202,0.68482,0.57334,1.3558,1.67332,1.83256,0.000995062,0.000995062,0.000995062
11,485.391,1.25302,1.90584,1.66502,0.77941,0.59599,0.6873,0.57759,1.28168,1.66415,1.78315,0.000993906,0.000993906,0.000993906
12,528.762,1.25048,1.86234,1.64708,0.82285,0.58685,0.68048,0.57371,1.32933,1.65858,1.79322,0.000992629,0.000992629,0.000992629
13,571.856,1.23516,1.82596,1.64216,0.86074,0.5802,0.70115,0.58348,1.28381,1.64856,1.78147,0.000991232,0.000991232,0.000991232
14,614.647,1.22059,1.76058,1.62813,0.84889,0.587,0.71537,0.58364,1.32499,1.53894,1.8196,0.000989715,0.000989715,0.000989715
15,657.881,1.22141,1.78047,1.65469,0.82624,0.6066,0.71703,0.5901,1.30795,1.517,1.78715,0.000988079,0.000988079,0.000988079
16,701.214,1.21528,1.77174,1.62982,0.80424,0.62832,0.72946,0.60263,1.28933,1.47795,1.77314,0.000986323,0.000986323,0.000986323
17,744.383,1.2313,1.74144,1.63805,0.80016,0.62845,0.72852,0.59137,1.35206,1.46394,1.8073,0.000984449,0.000984449,0.000984449
